year,base_year,value,index_type,series_type,series_deflated,data_version
1981,1968,3.84,median_wage,indexed,nominal,"November 9, 2023"
1982,1968,4.14,median_wage,indexed,nominal,"November 9, 2023"
1983,1968,4.37,median_wage,indexed,nominal,"November 9, 2023"
1984,1968,4.42,median_wage,indexed,nominal,"November 9, 2023"
1985,1968,4.67,median_wage,indexed,nominal,"November 9, 2023"
1986,1968,4.93,median_wage,indexed,nominal,"November 9, 2023"
1987,1968,5.09,median_wage,indexed,nominal,"November 9, 2023"
1988,1968,5.29,median_wage,indexed,nominal,"November 9, 2023"
1989,1968,5.59,median_wage,indexed,nominal,"November 9, 2023"
1990,1968,5.83,median_wage,indexed,nominal,"November 9, 2023"
1991,1968,5.97,median_wage,indexed,nominal,"November 9, 2023"
1992,1968,6.12,median_wage,indexed,nominal,"November 9, 2023"
1993,1968,6.35,median_wage,indexed,nominal,"November 9, 2023"
1994,1968,6.54,median_wage,indexed,nominal,"November 9, 2023"
1995,1968,6.74,median_wage,indexed,nominal,"November 9, 2023"
1996,1968,6.98,median_wage,indexed,nominal,"November 9, 2023"
1997,1968,7.22,median_wage,indexed,nominal,"November 9, 2023"
1998,1968,7.55,median_wage,indexed,nominal,"November 9, 2023"
1999,1968,7.84,median_wage,indexed,nominal,"November 9, 2023"
2000,1968,8.26,median_wage,indexed,nominal,"November 9, 2023"
2001,1968,8.66,median_wage,indexed,nominal,"November 9, 2023"
2002,1968,8.81,median_wage,indexed,nominal,"November 9, 2023"
2003,1968,9.04,median_wage,indexed,nominal,"November 9, 2023"
2004,1968,9.26,median_wage,indexed,nominal,"November 9, 2023"
2005,1968,9.5,median_wage,indexed,nominal,"November 9, 2023"
2006,1968,9.83,median_wage,indexed,nominal,"November 9, 2023"
2007,1968,10.17,median_wage,indexed,nominal,"November 9, 2023"
2008,1968,10.4,median_wage,indexed,nominal,"November 9, 2023"
2009,1968,10.68,median_wage,indexed,nominal,"November 9, 2023"
2010,1968,10.77,median_wage,indexed,nominal,"November 9, 2023"
2011,1968,10.99,median_wage,indexed,nominal,"November 9, 2023"
2012,1968,11.2,median_wage,indexed,nominal,"November 9, 2023"
2013,1968,11.4,median_wage,indexed,nominal,"November 9, 2023"
2014,1968,11.65,median_wage,indexed,nominal,"November 9, 2023"
2015,1968,11.81,median_wage,indexed,nominal,"November 9, 2023"
2016,1968,12.11,median_wage,indexed,nominal,"November 9, 2023"
2017,1968,12.5,median_wage,indexed,nominal,"November 9, 2023"
2018,1968,13.18,median_wage,indexed,nominal,"November 9, 2023"
2019,1968,13.6,median_wage,indexed,nominal,"November 9, 2023"
2020,1968,14.66,median_wage,indexed,nominal,"November 9, 2023"
2021,1968,14.86,median_wage,indexed,nominal,"November 9, 2023"
2022,1968,15.85,median_wage,indexed,nominal,"November 9, 2023"
2023,1968,16.41,median_wage,indexed,nominal,"November 9, 2023"
2009,2009,7.25,median_wage,indexed,nominal,"November 9, 2023"
2010,2009,7.31,median_wage,indexed,nominal,"November 9, 2023"
2011,2009,7.46,median_wage,indexed,nominal,"November 9, 2023"
2012,2009,7.6,median_wage,indexed,nominal,"November 9, 2023"
2013,2009,7.74,median_wage,indexed,nominal,"November 9, 2023"
2014,2009,7.9,median_wage,indexed,nominal,"November 9, 2023"
2015,2009,8.02,median_wage,indexed,nominal,"November 9, 2023"
2016,2009,8.22,median_wage,indexed,nominal,"November 9, 2023"
2017,2009,8.49,median_wage,indexed,nominal,"November 9, 2023"
2018,2009,8.95,median_wage,indexed,nominal,"November 9, 2023"
2019,2009,9.23,median_wage,indexed,nominal,"November 9, 2023"
2020,2009,9.95,median_wage,indexed,nominal,"November 9, 2023"
2021,2009,10.08,median_wage,indexed,nominal,"November 9, 2023"
2022,2009,10.76,median_wage,indexed,nominal,"November 9, 2023"
2023,2009,11.14,median_wage,indexed,nominal,"November 9, 2023"
1938,NA,0.25,NA,actual,nominal,"November 9, 2023"
1939,NA,0.3,NA,actual,nominal,"November 9, 2023"
1940,NA,0.3,NA,actual,nominal,"November 9, 2023"
1941,NA,0.3,NA,actual,nominal,"November 9, 2023"
1942,NA,0.3,NA,actual,nominal,"November 9, 2023"
1943,NA,0.3,NA,actual,nominal,"November 9, 2023"
1944,NA,0.3,NA,actual,nominal,"November 9, 2023"
1945,NA,0.4,NA,actual,nominal,"November 9, 2023"
1946,NA,0.4,NA,actual,nominal,"November 9, 2023"
1947,NA,0.4,NA,actual,nominal,"November 9, 2023"
1948,NA,0.4,NA,actual,nominal,"November 9, 2023"
1949,NA,0.4,NA,actual,nominal,"November 9, 2023"
1950,NA,0.75,NA,actual,nominal,"November 9, 2023"
1951,NA,0.75,NA,actual,nominal,"November 9, 2023"
1952,NA,0.75,NA,actual,nominal,"November 9, 2023"
1953,NA,0.75,NA,actual,nominal,"November 9, 2023"
1954,NA,0.75,NA,actual,nominal,"November 9, 2023"
1955,NA,0.75,NA,actual,nominal,"November 9, 2023"
1956,NA,1,NA,actual,nominal,"November 9, 2023"
1957,NA,1,NA,actual,nominal,"November 9, 2023"
1958,NA,1,NA,actual,nominal,"November 9, 2023"
1959,NA,1,NA,actual,nominal,"November 9, 2023"
1960,NA,1,NA,actual,nominal,"November 9, 2023"
1961,NA,1.15,NA,actual,nominal,"November 9, 2023"
1962,NA,1.15,NA,actual,nominal,"November 9, 2023"
1963,NA,1.25,NA,actual,nominal,"November 9, 2023"
1964,NA,1.25,NA,actual,nominal,"November 9, 2023"
1965,NA,1.25,NA,actual,nominal,"November 9, 2023"
1966,NA,1.25,NA,actual,nominal,"November 9, 2023"
1967,NA,1.4,NA,actual,nominal,"November 9, 2023"
1968,NA,1.6,NA,actual,nominal,"November 9, 2023"
1969,NA,1.6,NA,actual,nominal,"November 9, 2023"
1970,NA,1.6,NA,actual,nominal,"November 9, 2023"
1971,NA,1.6,NA,actual,nominal,"November 9, 2023"
1972,NA,1.6,NA,actual,nominal,"November 9, 2023"
1973,NA,1.6,NA,actual,nominal,"November 9, 2023"
1974,NA,2,NA,actual,nominal,"November 9, 2023"
1975,NA,2.1,NA,actual,nominal,"November 9, 2023"
1976,NA,2.3,NA,actual,nominal,"November 9, 2023"
1977,NA,2.3,NA,actual,nominal,"November 9, 2023"
1978,NA,2.65,NA,actual,nominal,"November 9, 2023"
1979,NA,2.9,NA,actual,nominal,"November 9, 2023"
1980,NA,3.1,NA,actual,nominal,"November 9, 2023"
1981,NA,3.35,NA,actual,nominal,"November 9, 2023"
1982,NA,3.35,NA,actual,nominal,"November 9, 2023"
1983,NA,3.35,NA,actual,nominal,"November 9, 2023"
1984,NA,3.35,NA,actual,nominal,"November 9, 2023"
1985,NA,3.35,NA,actual,nominal,"November 9, 2023"
1986,NA,3.35,NA,actual,nominal,"November 9, 2023"
1987,NA,3.35,NA,actual,nominal,"November 9, 2023"
1988,NA,3.35,NA,actual,nominal,"November 9, 2023"
1989,NA,3.35,NA,actual,nominal,"November 9, 2023"
1990,NA,3.8,NA,actual,nominal,"November 9, 2023"
1991,NA,4.25,NA,actual,nominal,"November 9, 2023"
1992,NA,4.25,NA,actual,nominal,"November 9, 2023"
1993,NA,4.25,NA,actual,nominal,"November 9, 2023"
1994,NA,4.25,NA,actual,nominal,"November 9, 2023"
1995,NA,4.25,NA,actual,nominal,"November 9, 2023"
1996,NA,4.75,NA,actual,nominal,"November 9, 2023"
1997,NA,5.15,NA,actual,nominal,"November 9, 2023"
1998,NA,5.15,NA,actual,nominal,"November 9, 2023"
1999,NA,5.15,NA,actual,nominal,"November 9, 2023"
2000,NA,5.15,NA,actual,nominal,"November 9, 2023"
2001,NA,5.15,NA,actual,nominal,"November 9, 2023"
2002,NA,5.15,NA,actual,nominal,"November 9, 2023"
2003,NA,5.15,NA,actual,nominal,"November 9, 2023"
2004,NA,5.15,NA,actual,nominal,"November 9, 2023"
2005,NA,5.15,NA,actual,nominal,"November 9, 2023"
2006,NA,5.15,NA,actual,nominal,"November 9, 2023"
2007,NA,5.85,NA,actual,nominal,"November 9, 2023"
2008,NA,6.55,NA,actual,nominal,"November 9, 2023"
2009,NA,7.25,NA,actual,nominal,"November 9, 2023"
2010,NA,7.25,NA,actual,nominal,"November 9, 2023"
2011,NA,7.25,NA,actual,nominal,"November 9, 2023"
2012,NA,7.25,NA,actual,nominal,"November 9, 2023"
2013,NA,7.25,NA,actual,nominal,"November 9, 2023"
2014,NA,7.25,NA,actual,nominal,"November 9, 2023"
2015,NA,7.25,NA,actual,nominal,"November 9, 2023"
2016,NA,7.25,NA,actual,nominal,"November 9, 2023"
2017,NA,7.25,NA,actual,nominal,"November 9, 2023"
2018,NA,7.25,NA,actual,nominal,"November 9, 2023"
2019,NA,7.25,NA,actual,nominal,"November 9, 2023"
2020,NA,7.25,NA,actual,nominal,"November 9, 2023"
2021,NA,7.25,NA,actual,nominal,"November 9, 2023"
2022,NA,7.25,NA,actual,nominal,"November 9, 2023"
2023,NA,7.25,NA,actual,nominal,"November 9, 2023"
